HASH_KEY,AGE_GROUP,INCOME_CATEGORY,HOUSEHOLD_OCCUPANCY,CHILDREN_AT_HOME,HOUSEHOLD_SIZE,NUMBER_OF_BEDROOMS,OCCUPATION,EMPLOYMENT_STATUS,HIGHEST_QUALIFICATION,HOME_OWNERSHIP,HOME_TYPE,HOME_VALUE,SOCIAL_GRADE,TARIFF_GROUP,ESTIMATED_CONSUMPTION_ELEC_DAY,ESTIMATED_CONSUMPTION_ELEC_NIGHT,ESTIMATED_CONSUMPTION_TOTAL
71e9e82036be3f358f7c0b91d13942b85de99580cf0070ecd3fddb9da238a6ac,55-64,"100,000+",Couple Household,0,2,4,Professional,Employed,University Degree or Higher,Owner Occupied,Semi-Detached House,500k+,Social grade B,Standard,4771,0,4771
96c3e578337fe16d337321862daf8f41c8b237df7ca90185817ceeaceb3afa63,75+,"20,000-29,999",Single Adult Household,0,1,3,Retired,Not Employed,A Level Equivalent,Owner Occupied,Semi-Detached House,150-250k,Social grade C1,Standard,1570,0,1570
84b2bbe7d20c3dee3fb3a4c8f02218800160edc473f0a6c1b144fd0d1b43d2f2,45-54,"40,000-49,999",Couple Household,2+,3-4,4,Office Worker,Employed,A Level Equivalent,Owner Occupied,Detached House,150-250k,Social grade C1,Standard,1822,0,1822
6dc098893f76e1ea1424253a5e64d83719b3847ef9b40bcd5c443d2fb8318be0,55-64,"20,000-29,999",Single Adult Household,0,1,2,Service Sector,Employed,GCSE Equivalent,Owner Occupied,Terraced House,100-150k,Social grade D,EDF Essentials,1562,0,1562
90146852b147f458a386270a383facbcc717d9c1af545de5b38e39ca152afd7b,18-24,"100,000+",Couple Household,0,2,4,Director/Managerial,Employed,University Degree or Higher,Owner Occupied,Detached House,500k+,Social grade B,Standard,4515,0,4515
27870c02764e3f1fc4050ea037e1b3bdf14a7a2d2663689fdb641738075465a1,45-54,"50,000-74,999",Couple Household,2+,3-4,3,Professional,Employed,GCSE Equivalent,Owner Occupied,Semi-Detached House,250-500k,Social grade C1,EDF Essentials,6751,0,6751
06c0e04b7419a6539e24ef40ea914908e9d8b294a369c806abb17f713162cd29,35-44,"75,000-99,999",Couple Household,Unknown,5+,3,Director/Managerial,Employed,University Degree or Higher,Owner Occupied,Terraced House,500k+,Social grade B,EDF Essentials,3457,0,3457
c67ac9d4837a7680654765c04dd49d5b509243b532f4509e783eb485db010ea0,45-54,"50,000-74,999",Couple Household,2+,3-4,3,Professional,Employed,University Degree or Higher,Owner Occupied,Semi-Detached House,250-500k,Social grade A,Standard,2779,0,2779
9a7b6a7cff87de39f1ea6652bafd3c4a351faddc4eda8e36c5b0cecc1b426188,65-74,"20,000-29,999",Couple Household,0,2,3,Retired,Not Employed,A Level Equivalent,Owner Occupied,Detached House,250-500k,Social grade C2,Standard,2772,0,2772
e6c0216b44974219ec819576c7e19253aac2af669060954eed7717bc596ebf88,45-54,"100,000+",Couple Household,2+,3-4,4,Professional,Employed,University Degree or Higher,Owner Occupied,Detached House,500k+,Social grade B,Engage,2686,0,2686
e6686fc002b1e1a7cc84cfe84a0d01bb731b625c9fd79be5ae64d921c7bdf351,45-54,"50,000-74,999",Couple Household,1,3-4,3,Professional,Employed,A Level Equivalent,Owner Occupied,Terraced House,250-500k,Social grade C2,Deemed,4747,0,4747
85364dbe153b8ad54e563c39cedc1ac8a7a5ef4b13b44e40f9c98b83617fc4db,65-74,"10,000-19,999",Single Adult Household,1,2,2,Retired,Not Employed,Secondary Education or Less,Owner Occupied,Flat or Maisonette,0-100k,Unknown,Fix Total Service,1223,0,1223
93e8a37c7d24ece90be1ed536c42f177b8a35a258d091147dc8a58fcaf5dff31,65-74,"20,000-29,999",Couple Household,0,2,3,Retired,Not Employed,A Level Equivalent,Owner Occupied,Semi-Detached House,500k+,Social grade B,Standard,2270,0,2270
e7a077ab70ea213ea3c8c48b061c7239b8c580f8cb96e37648acfc4811e60331,65-74,"20,000-29,999",Single Adult Household,0,1,2,Retired,Not Employed,A Level Equivalent,Owner Occupied,Flat or Maisonette,250-500k,Social grade C1,Standard,1070,0,1070
7a21d6af2e84204cb41b455be443dae87a6971f717f535313fe7164db1b464b5,65-74,"50,000-74,999",Couple Household,0,2,4,Retired,Not Employed,University Degree or Higher,Owner Occupied,Detached House,500k+,Social grade B,Easy Online,6088,0,6088
f4d1c81d001171037c1fbacfe37dd6cbbb4d2145576a1b14a5c087b10d0ca0e5,45-54,"30,000-39,999",Couple Household,2+,3-4,3,Office Worker,Employed,GCSE Equivalent,Owner Occupied,Semi-Detached House,100-150k,Social grade C1,Standard,1953,0,1953
f6db63a812dd27ae44ae536147a740eee396ca3da16e917ca08f0eb5c0552eb6,55-64,"50,000-74,999",Couple Household,0,2,5+,Retired,Not Employed,University Degree or Higher,Owner Occupied,Detached House,250-500k,Social grade B,EDF Essentials,6243,0,6243
116ea0da6e24a17565b246ee8aa872397c345dc8520ea62633b73e321d9a3497,45-54,"40,000-49,999",Couple Household,1,2,3,Office Worker,Employed,GCSE Equivalent,Owner Occupied,Semi-Detached House,150-250k,Social grade C1,EDF Essentials,1563,0,1563
b8317c88edfd97a90c5d1e26c86501a448d5d3ef1d230ec8c9eb65ddcea3e045,55-64,"50,000-74,999",Couple Household,1,2,2,Retired,Not Employed,A Level Equivalent,Owner Occupied,Terraced House,250-500k,Social grade B,Standard,2315,0,2315
4d4a4624e4a16e120120fb47cca0a61873b45d9c42f523f6fb773561f83d9a1e,45-54,"20,000-29,999",Couple Household,0,2,3,Office Worker,Employed,GCSE Equivalent,Owner Occupied,Semi-Detached House,150-250k,Social grade C2,Standard,1963,0,1963
5b1cf2dd5a276c958366543f0b85f2da7471268e9844b8ef591a2b419f5a7467,45-54,"100,000+",Couple Household,0,2,5+,Professional,Employed,University Degree or Higher,Owner Occupied,Flat or Maisonette,500k+,Social grade B,Standard,2316,0,2316
e103c703c08f4851febe6c4e60ca0fb559a63c34c371232be548e6f9a6e0343e,65-74,"50,000-74,999",Couple Household,0,2,4,Retired,Not Employed,A Level Equivalent,Owner Occupied,Detached House,250-500k,Social grade B,Standard,2130,0,2130
6f2038376a8d47e404d903c362df7ab3e132e356a544b5dbcfedc426c25602ae,55-64,"100,000+",Couple Household,0,2,4,Professional,Employed,University Degree or Higher,Owner Occupied,Detached House,500k+,Social grade B,EDF Essentials,4303,0,4303
33a8d760c5b5ca57696982b40445834274ede3b851db9aedb7ed876f61579763,55-64,"40,000-49,999",Couple Household,0,2,3,Skilled Manual Worker,Employed,A Level Equivalent,Owner Occupied,Semi-Detached House,250-500k,Social grade C1,Standard,1970,0,1970
102aca52f0068487dab9d55284483113981f1f89e7972fd79e8ceb4a3f1be871,55-64,"75,000-99,999",Couple Household,2+,3-4,4,Director/Managerial,Employed,University Degree or Higher,Private Renting,Detached House,500k+,Social grade B,Deemed,5261,0,5261
76659ae626df037c58d3ace06ae8d7e69e132a0612bb7efc410a6ab30985e9c9,75+,"20,000-29,999",Couple Household,0,2,3,Retired,Not Employed,A Level Equivalent,Owner Occupied,Detached House,250-500k,Social grade C1,Standard,2657,0,2657
408cc9edbf4f6f04e156c2b6e9a874fd2277a70e9cb2c0757d3ec50ce43ab322,55-64,"75,000-99,999",Couple Household,2+,3-4,3,Director/Managerial,Employed,A Level Equivalent,Owner Occupied,Detached House,500k+,Social grade B,EDF Essentials,5741,0,5741
6c696745f62336a167f5f0f681ca6df0a4a71abf68e4b1e6083246cde5580cdb,65-74,"50,000-74,999",Couple Household,0,2,3,Retired,Not Employed,A Level Equivalent,Owner Occupied,Semi-Detached House,250-500k,Social grade B,Easy Online,5317,0,5317
30e127b9410090bccc7847a6bbe0636e141c3a401d9304b510e335071ae40ec4,45-54,"50,000-74,999",Couple Household,2+,3-4,3,Professional,Employed,GCSE Equivalent,Owner Occupied,Semi-Detached House,250-500k,Social grade C1,EDF Essentials,3151,0,3151
9eb4d117d8653803a4af6149bf6cb27b699aef8a0ab135c705087a7ea3ef8574,45-54,"75,000-99,999",Couple Household,2+,3-4,4,Professional,Employed,University Degree or Higher,Owner Occupied,Detached House,500k+,Social grade B,Standard,2567,0,2567
65f2635cff9b0355944a4e880efb8a230e949de072eb197c632d4a921044420d,25-34,"50,000-74,999",Couple Household,1,3-4,3,Professional,Employed,A Level Equivalent,Owner Occupied,Terraced House,150-250k,Social grade C1,Deemed,1029,0,1029
67ceac777d3eab3ec1cb46b56de531a4eef11037683a0e214f8327ac0bb3d0a8,45-54,"50,000-74,999",Couple Household,2+,3-4,3,Professional,Employed,University Degree or Higher,Owner Occupied,Semi-Detached House,150-250k,Social grade C1,EDF Essentials,5010,0,5010
08729b9f95922f26431f192a075795df2bb5ea0ff14842d5b03a961da1e09c01,65-74,"50,000-74,999",Single Adult Household,0,2,2,Retired,Not Employed,A Level Equivalent,Owner Occupied,Flat or Maisonette,250-500k,Social grade B,Fix Total Service,919,0,919
aea97804a67884e1189410980dfff2b69dc3853cf07678fcb3599d0bcfece7fd,55-64,"50,000-74,999",Couple Household,0,2,4,Office Worker,Employed,University Degree or Higher,Owner Occupied,Detached House,250-500k,Social grade C1,Standard,4090,0,4090
32b1b813913d6743fedf9f54280eb31ccb1605d5564841f5135eb64bc7255437,65-74,"100,000+",Couple Household,0,2,4,Retired,Not Employed,A Level Equivalent,Owner Occupied,Detached House,500k+,Social grade B,EDF Essentials,3201,0,3201
dee2e3ea4e68a05174a30fd72ea2ac693bea9bad82ac18f4b003a7f54167384a,45-54,"75,000-99,999",Couple Household,2+,3-4,4,Professional,Employed,University Degree or Higher,Owner Occupied,Detached House,250-500k,Social grade B,Standard,5437,0,5437
299e31e49331ce61b18fc7c58a3f559a21c58f691fe07457f6f4871c09a668d9,45-54,"100,000+",Couple Household,2+,3-4,3,Professional,Employed,GCSE Equivalent,Social Renting,Semi-Detached House,500k+,Social grade C1,Easy Online,5501,0,5501
a3a04bc127e944ffb250b7d4490d97310bac63f4c3a4b5ed3f470842a23da69e,35-44,"50,000-74,999",Couple Household,2+,3-4,3,Professional,Employed,GCSE Equivalent,Owner Occupied,Detached House,250-500k,Social grade C1,EDF Essentials,2303,0,2303
14ec1fb92a1475f179a585203cc7dbbb52620e2d5dc43c6f825b7759b5520c76,45-54,"50,000-74,999",Couple Household,1,2,2,Professional,Employed,University Degree or Higher,Owner Occupied,Terraced House,250-500k,Social grade C1,EDF Essentials,1766,0,1766
55e3d9c9d9ceb8ccf2d0680e3e12596262386495b321d3e30c539611e3d6e777,45-54,"75,000-99,999",Couple Household,2+,3-4,3,Professional,Employed,University Degree or Higher,Owner Occupied,Semi-Detached House,250-500k,Social grade B,EDF Essentials,2610,0,2610
640a7546942234fab09054feaae5f8ad58da6a852924b5b959d0c3621d6aff65,35-44,"50,000-74,999",Couple Household,2+,3-4,3,Professional,Employed,University Degree or Higher,Owner Occupied,Semi-Detached House,150-250k,Social grade C1,EDF Essentials,4871,0,4871
1a5a8ef6ddf8f27f44addba277d7ef78b3aff3fb2d7d66cb07348e806193aafc,35-44,"50,000-74,999",Couple Household,2+,3-4,4,Professional,Employed,University Degree or Higher,Owner Occupied,Flat or Maisonette,250-500k,Social grade C1,Standard,3767,0,3767
c311b6ecbb6011d7c5ed3f823fb6ee4cd08a7ba6e185808d44949d0a21060bf7,55-64,"10,000-19,999",Single Adult Household,0,1,2,Looking after home,Not Employed,GCSE Equivalent,Owner Occupied,Terraced House,0-100k,Social grade D,Deemed,1521,0,1521
5a2697213e9676ad984b39152fdc31e0f9032c212ddd0c5c9f74574619aa3c65,65-74,"20,000-29,999",Single Adult Household,0,2,3,Retired,Not Employed,GCSE Equivalent,Owner Occupied,Terraced House,250-500k,Social grade C1,Easy Online,948,0,948
ac461d389c57e9804022667a7bf9a381ee56eca8457f29ca6daedce25a724c74,65-74,"75,000-99,999",Couple Household,0,2,4,Retired,Not Employed,A Level Equivalent,Owner Occupied,Detached House,500k+,Social grade B,Deemed,4405,0,4405
17968d424008489a1174d17822c446b8c1b3c55236b4e57c5cdd6fc96cf7f59d,55-64,"0-9,999",Couple Household,0,2,3,Skilled Manual Worker,Employed,GCSE Equivalent,Owner Occupied,Terraced House,250-500k,Social grade C2,Standard,3033,0,3033
64df415df337f3a00927db9da308a64f70c4ac8b221283e6956a5eef471cab36,45-54,"20,000-29,999",Single Adult Household,0,1,2,Professional,Employed,University Degree or Higher,Private Renting,Flat or Maisonette,100-150k,Social grade C1,Standard,2532,0,2532
bb99c6fde8bc4d47861feccd70a22bb00ebdab0bd6b6fb12ffecdefe28a45bf2,45-54,"40,000-49,999",Couple Household,1,3-4,3,Office Worker,Employed,GCSE Equivalent,Owner Occupied,Semi-Detached House,150-250k,Social grade C1,Standard,2535,0,2535
45cf7da6ee1ffa3bcdd53d3f61eb5759c8abfeef4f57d60a5991a31b1916a1b0,55-64,"20,000-29,999",Single Adult Household,0,1,2,Director/Managerial,Employed,A Level Equivalent,Owner Occupied,Terraced House,150-250k,Social grade C1,EDF Essentials,8211,0,8211
15dd33431405b0d7a01356b9efbc54d76529bb69026c80197ad0b89c7086a280,55-64,"50,000-74,999",Couple Household,0,2,3,Director/Managerial,Employed,University Degree or Higher,Owner Occupied,Semi-Detached House,250-500k,Social grade B,Fix Total Service,2836,0,2836
2d28ee0a5ac2704ac545e890e2ef6a34052591c5b7ded6ac3a0163cfbc2900e2,25-34,"40,000-49,999",Couple Household,1,3-4,2,Professional,Employed,University Degree or Higher,Private Renting,Detached House,150-250k,Social grade B,Standard,2854,0,2854
9aec8ccc0439c0299a41a842de931363bc51b2860e97ec6d2d10fbbb36cb9481,25-34,"30,000-39,999",Couple Household,1,3-4,2,Service Sector,Employed,University Degree or Higher,Private Renting,Semi-Detached House,150-250k,Social grade C1,Fix Total Service,2053,0,2053
68c88b4c7d84c82ba91368c7e85c92e93eafa89d65e9f20119c9c6e12ea3aadc,45-54,"100,000+",Couple Household,2+,3-4,4,Professional,Employed,University Degree or Higher,Owner Occupied,Detached House,500k+,Social grade B,Standard,3807,0,3807
8cf509df710ff0e3b219e7ab7b1110145ddb61ad120031d47b654fd160baf481,55-64,"50,000-74,999",Couple Household,0,2,4,Office Worker,Employed,University Degree or Higher,Owner Occupied,Detached House,250-500k,Social grade B,Easy Online,1446,0,1446
9c97047fc410be9846b87d8953f9e540ce95e90b77bd69786cf6b21333372d29,75+,"10,000-19,999",Single Adult Household,0,1,3,Retired,Not Employed,A Level Equivalent,Owner Occupied,Semi-Detached House,250-500k,Social grade C1,EDF Essentials,2298,0,2298
286c0109f719118d54e4b0fe27ff3fd2bd5293bde0ca7f8ae5900778a4cda303,55-64,"75,000-99,999",Couple Household,0,2,4,Looking after home,Not Employed,University Degree or Higher,Owner Occupied,Detached House,500k+,Social grade B,EDF Essentials,3835,0,3835
eb0a1c7775cbd22a1e980ca37d912d4e535be6876a6f49d5b3df299333c61046,65-74,"10,000-19,999",Single Adult Household,0,1,3,Retired,Not Employed,Secondary Education or Less,Owner Occupied,Terraced House,150-250k,Unknown,EDF Essentials,2690,0,2690
c56916f8c11d723c7e1e02bbf17a5af480b936569886ec942a83df32124341d5,75+,"10,000-19,999",Single Adult Household,0,2,3,Retired,Not Employed,A Level Equivalent,Owner Occupied,Semi-Detached House,150-250k,Social grade C1,Deemed,1740,0,1740
348515369b903a49e4a70cb7c6ce7d338dc23596a78b97ff041f077e6cb3c33d,75+,"40,000-49,999",Single Adult Household,0,2,4,Retired,Not Employed,A Level Equivalent,Owner Occupied,Detached House,500k+,Social grade B,Standard,3339,0,3339
0faa1b6a371d31d5e294efbd9e34d8e6ed47fb285324b1878436a6c26cebfcb3,65-74,"20,000-29,999",Single Adult Household,0,2,3,Retired,Not Employed,GCSE Equivalent,Owner Occupied,Terraced House,150-250k,Social grade C1,Fix Total Service,1761,0,1761
27f66781e7d149e52902dc5f76e335ca4bf68d2e952084b2b2f44e8f6785a294,45-54,"75,000-99,999",Couple Household,2+,3-4,3,Office Worker,Employed,University Degree or Higher,Owner Occupied,Terraced House,250-500k,Social grade C2,Standard,4453,0,4453
c3ffa734257866c68078286fdb7aa2ed50b2b249979726f25ca5a3245560fce7,45-54,"100,000+",Couple Household,2+,3-4,5+,Professional,Employed,University Degree or Higher,Owner Occupied,Detached House,500k+,Social grade B,EDF Essentials,3960,0,3960
f21add5236fe9a446fa40946f2d5608f647dc52d05e53af4e9751256d1e14bdf,45-54,"100,000+",Couple Household,2+,3-4,3,Director/Managerial,Employed,University Degree or Higher,Owner Occupied,Semi-Detached House,500k+,Social grade B,Fix Total Service,2551,0,2551
c806a7f909cb1dd6b9654c6dadced93543bbf3336f275974963d4e0c65bd6109,55-64,"50,000-74,999",Couple Household,0,2,4,Professional,Employed,A Level Equivalent,Owner Occupied,Detached House,250-500k,Social grade B,Standard,3450,0,3450
842cf0404e7ce484ada15f9de1f0a4ac7158f37e92b66b75423afa33a1bcae1f,55-64,"50,000-74,999",Couple Household,0,2,4,Office Worker,Employed,A Level Equivalent,Owner Occupied,Detached House,250-500k,Social grade C1,EDF Essentials,1377,0,1377
779cbaddfddb79cd68ac0fc536eaa452f20eedf003bc37d4bc3965d378b458fb,65-74,"100,000+",Couple Household,0,2,4,Retired,Not Employed,A Level Equivalent,Owner Occupied,Detached House,500k+,Social grade B,Easy Online,4768,0,4768
5d455ea08ff07de9beb4b5663da82ac77def991b7efae6ebe9308e1dedbfca9f,55-64,"10,000-19,999",Single Adult Household,0,1,3,Looking after home,Not Employed,A Level Equivalent,Social Renting,Terraced House,250-500k,Social grade D,Fix Total Service,3126,0,3126
5940aa1c87e9c6576279b645862edec1bf7e8d699e8553120422908fa0530a0d,55-64,"40,000-49,999",Couple Household,0,2,2,Looking after home,Not Employed,A Level Equivalent,Owner Occupied,Terraced House,150-250k,Social grade C1,Deemed,1508,0,1508
2aeeb78acb62dbe1604c6dbb7f2493cdccfe4258c310221e8159b6cb4058287f,45-54,"40,000-49,999",Couple Household,0,2,3,Professional,Employed,GCSE Equivalent,Owner Occupied,Semi-Detached House,500k+,Social grade C1,Standard,9756,0,9756
0cfe9af73c7ba79f7d4825d17d814897542e2b73ab0c0c7f8f1117d276be7ef3,35-44,"40,000-49,999",Couple Household,2+,3-4,3,Professional,Employed,GCSE Equivalent,Owner Occupied,Semi-Detached House,150-250k,Social grade C2,Standard,3465,0,3465
7873f0305b831417edb9cb4f5affd043f44790f63a401a69a0352b5152ab75bb,55-64,"20,000-29,999",Couple Household,0,2,3,Looking after home,Not Employed,GCSE Equivalent,Social Renting,Semi-Detached House,100-150k,Social grade D,Standard,1366,0,1366
aa1ed740d8543f65414056524d7f3999b028c9695def87ba05e5732879e6e606,25-34,"20,000-29,999",Couple Household,0,2,3,Service Sector,Employed,GCSE Equivalent,Owner Occupied,Semi-Detached House,250-500k,Social grade C2,Standard,952,0,952
07da0156b90df96f23c2a26177c9244b652d26a0d5ec28f30a4953ab608e082c,45-54,"20,000-29,999",Single Adult Household,0,1,2,Service Sector,Employed,A Level Equivalent,Private Renting,Flat or Maisonette,0-100k,Social grade C1,Essentials Exclusive,2164,0,2164
995bddefbfbd980258bedfc7722ada9716369a9950ca5d57ef695326511b4440,35-44,"10,000-19,999",Couple Household,2+,3-4,3,Skilled Manual Worker,Employed,Secondary Education or Less,Social Renting,Semi-Detached House,100-150k,Social grade C2,Fix Total Service,3963,0,3963
2c818e31a2ce2da4fecde53433eea7dfe8b2949df456b62bca3240a8a211247b,35-44,"100,000+",Couple Household,Unknown,3-4,5+,Professional,Employed,University Degree or Higher,Private Renting,Flat or Maisonette,250-500k,Social grade B,Standard,2901,0,2901
63c61d25030bed380f713d27bc8c2a3e92e850063fcf5131ab620493d822225c,18-24,"50,000-74,999",Couple Household,0,2,3,Student,Not Employed,A Level Equivalent,Owner Occupied,Detached House,250-500k,Social grade A,Standard,1316,0,1316
a21f7333c849269561dec0244d1d0165ca10eb09e51ad4428d0b2a7fb4f653c3,55-64,"75,000-99,999",Couple Household,Unknown,3-4,4,Professional,Employed,University Degree or Higher,Owner Occupied,Detached House,500k+,Social grade B,Easy Online,2712,0,2712
7246e037689ae9b86e216063eb2f86562d45c251f00bf5fdea8470432b997490,45-54,"40,000-49,999",Couple Household,0,2,3,Professional,Employed,University Degree or Higher,Owner Occupied,Semi-Detached House,250-500k,Social grade C1,Fix Total Service,2010,0,2010
7bd6d00d62df8428c51c6b552c4a9bcf31a0f72dbcfa58e99e1904ee5bdcebaf,55-64,"30,000-39,999",Couple Household,0,2,3,Looking after home,Not Employed,A Level Equivalent,Owner Occupied,Terraced House,250-500k,Social grade C2,Deemed,3034,0,3034
8d1db7fc9058fc5909cea0dd16782c9e55b621592ea3f3a77ac717f15d0d8edb,55-64,"50,000-74,999",Couple Household,0,2,3,Professional,Employed,GCSE Equivalent,Owner Occupied,Semi-Detached House,250-500k,Social grade C1,EDF Essentials,2352,0,2352
562ce5751b575228cfeb43ba345b3d85b85388da80e694e605f024b91a8f7481,45-54,"20,000-29,999",Couple Household,2+,3-4,3,Service Sector,Employed,GCSE Equivalent,Social Renting,Semi-Detached House,100-150k,Social grade D,Total Service,2726,0,2726
9099bb0cd9bfe324eddbd939a9ef259dc73a568cca910632d7a8f16e3c4328a1,18-24,"30,000-39,999",Couple Household,0,2,3,Service Sector,Employed,A Level Equivalent,Owner Occupied,Detached House,100-150k,Social grade C1,Standard,3266,0,3266
b50eebabdd90a827e7c5ab020d9b28c92d7cdab54e41023cc39ee926cd4fafa5,65-74,"75,000-99,999",Couple Household,2+,3-4,3,Retired,Not Employed,A Level Equivalent,Owner Occupied,Semi-Detached House,500k+,Social grade B,Standard,3658,0,3658
31ea6bd81ed2394299ab56df2b26de366c1480e4a066927d95e5e897328c82a1,55-64,"40,000-49,999",Couple Household,0,2,4,Professional,Employed,A Level Equivalent,Owner Occupied,Detached House,250-500k,Social grade B,EDF Essentials,2998,0,2998
fc0a5522eb55a341dc3a7970601c50fe9f1d7f4917e303f004f6556dab36d206,65-74,"10,000-19,999",Single Adult Household,0,1,3,Retired,Not Employed,Secondary Education or Less,Owner Occupied,Terraced House,250-500k,Social grade C1,Standard,1821,0,1821
c8c74f4d1ce06df271e9b8211fbb3b2cd69f5bec25de8dfe9cb189b11a5ab09b,75+,"10,000-19,999",Single Adult Household,0,1,3,Retired,Not Employed,A Level Equivalent,Owner Occupied,Semi-Detached House,150-250k,Unknown,EDF Essentials,3486,0,3486
6a422a3fc29fbc8bf24bc26a18f5c648d524c69926f654ca0b810c2d63870f3e,45-54,"40,000-49,999",Couple Household,1,2,3,Skilled Manual Worker,Employed,A Level Equivalent,Owner Occupied,Semi-Detached House,150-250k,Social grade C2,Fix Total Service,1881,0,1881
dc1ca04a7d930263bbbae0f4f4bee2387adccfac6e4977ef9cad29452d1ac7ac,25-34,"50,000-74,999",Couple Household,2+,3-4,3,Professional,Employed,University Degree or Higher,Owner Occupied,Semi-Detached House,250-500k,Social grade B,Standard,3284,0,3284
81990d4636aac069379eea5bac0013ac2c8af433dd4aed1c4c832cce5012a0cc,65-74,"40,000-49,999",Single Adult Household,0,2,4,Retired,Not Employed,A Level Equivalent,Owner Occupied,Detached House,250-500k,Social grade C2,Standard,1777,0,1777
7902594159953b55a111eb99164a644f348a6c11c9fc10aedd9ab7674fc76313,18-24,"75,000-99,999",Single Adult Household,0,1,2,Professional,Employed,University Degree or Higher,Private Renting,Flat or Maisonette,250-500k,Social grade B,EDF Essentials,5160,0,5160
8692d3ba4dc74eadfbe3febf26da278be47d72fd51e74fc69c0ef129ede5018f,65-74,"20,000-29,999",Single Adult Household,0,2,3,Retired,Not Employed,A Level Equivalent,Owner Occupied,Terraced House,150-250k,Social grade C2,EDF Essentials,3437,0,3437
8430b84467f428995bdcd3d9efd4e09723b88473c9bc46a12d66d81607dc4bff,25-34,"50,000-74,999",Couple Household,1,3-4,3,Professional,Employed,University Degree or Higher,Private Renting,Flat or Maisonette,250-500k,Social grade B,Fix Total Service,3194,0,3194
07e461efb4aa55c32cd59c48bdfa27dd309e97cd710b9caa413c76ce2004945b,55-64,"20,000-29,999",Couple Household,0,2,3,Looking after home,Not Employed,GCSE Equivalent,Owner Occupied,Terraced House,150-250k,Social grade D,Deemed,1708,0,1708
cfcbae2ba25761279ddba1ce2f1e0a0e343eb02e8cee5f1ef6283aff05252377,35-44,"30,000-39,999",Couple Household,2+,3-4,3,Office Worker,Employed,GCSE Equivalent,Owner Occupied,Semi-Detached House,150-250k,Social grade C1,Deemed,2998,0,2998
17aabd39bce75bdff1413ec39db47e2a5c93aa5140804841265d99744e0a231a,55-64,"50,000-74,999",Couple Household,0,2,3,Professional,Employed,A Level Equivalent,Owner Occupied,Terraced House,250-500k,Social grade B,EDF Essentials,2751,0,2751
a40e1cbe10956369fdc42e384a2b80ed3cd5442d69e1c9bc678e51e619f79f94,55-64,"100,000+",Couple Household,0,2,5+,Director/Managerial,Employed,University Degree or Higher,Owner Occupied,Detached House,500k+,Social grade B,EDF Essentials,5160,0,5160
7fd26a47a07e0adaad004e507021aa7327f20b57c098884b45b6ce7606577d9f,45-54,"40,000-49,999",Couple Household,1,2,3,Professional,Employed,GCSE Equivalent,Owner Occupied,Semi-Detached House,150-250k,Social grade C1,Easy Online,3717,0,3717
2462bcecd6e8b4e739dbe78d1d089865530bb5be967104a86f8bfb9c81ba7908,45-54,"40,000-49,999",Couple Household,1,3-4,3,Professional,Employed,GCSE Equivalent,Owner Occupied,Semi-Detached House,150-250k,Social grade C1,EDF Essentials,3336,0,3336
251265751b5ac20695d36dca09e6a846d71aa3d5239b1c24a4d934850c0d7e87,55-64,"10,000-19,999",Single Adult Household,0,1,1,Looking after home,Not Employed,GCSE Equivalent,Social Renting,Flat or Maisonette,250-500k,Unknown,Standard,968,0,968
7a17df51b8d9de5f9c74921d74a2b580e7dbdbcb009fb0e88ec45651bfc548da,45-54,"30,000-39,999",Couple Household,1,3-4,3,Service Sector,Employed,GCSE Equivalent,Owner Occupied,Terraced House,100-150k,Social grade C1,Standard,1009,0,1009
0db6ef7b97d31610660cb4f7c02ea0abece953ce56a7e8eaa0d264eab65c25fe,55-64,"30,000-39,999",Couple Household,0,2,3,Skilled Manual Worker,Employed,A Level Equivalent,Owner Occupied,Semi-Detached House,150-250k,Social grade C2,Standard,3281,0,3281
905106edabc554480fae00eb6313cd4814ace7d8d45d91709a0488982f7df468,35-44,"50,000-74,999",Couple Household,2+,3-4,3,Professional,Employed,GCSE Equivalent,Owner Occupied,Semi-Detached House,150-250k,Social grade C1,Standard,3893,0,3893
dc66edeadab92d40f553c4e385a830495e3ababd6ed9887f1afd2d066833b410,65-74,"50,000-74,999",Couple Household,0,2,4,Looking after home,Not Employed,A Level Equivalent,Owner Occupied,Flat or Maisonette,250-500k,Social grade C1,Essentials Exclusive,1307,0,1307
0ac6b700dd2b349baeca58a73029d17346d6d2396c9d7767400f260dbc26695c,75+,"20,000-29,999",Single Adult Household,0,2,4,Retired,Not Employed,A Level Equivalent,Owner Occupied,Detached House,250-500k,Social grade C1,Essentials Exclusive,1669,0,1669
c3941d7a67bcb5d72de0916f99b60203364bbdf159945e98c30037bdbf3a7801,65-74,"100,000+",Couple Household,0,2,4,Retired,Not Employed,University Degree or Higher,Owner Occupied,Detached House,500k+,Social grade B,Standard,12688,0,12688
4f8dd10cda8d1444c500dfa8a7b32a8668720e01fb3166d0b80e7ef9cd94ecef,75+,"20,000-29,999",Single Adult Household,0,1,3,Retired,Not Employed,A Level Equivalent,Owner Occupied,Detached House,150-250k,Social grade C1,Standard,1000,0,1000
d91e30e4ffc2b50ded9faf49916595beec1f6a14fd120c337df2e440f585cfb0,35-44,"50,000-74,999",Couple Household,2+,3-4,2,Professional,Employed,University Degree or Higher,Owner Occupied,Terraced House,250-500k,Social grade B,Deemed,1691,0,1691
